상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시군구명,행정동명,법정동명,도로명주소,경도,위도,브랜드명
파리바게뜨,음식,제과제빵떡케익,제과점,춘천시,석사동,석사동,강원도 춘천시 후석로186번길 14,127.75377759999998,37.86730885,파리바게뜨
배스킨라빈스,음식,패스트푸드,아이스크림판매,원주시,단계동,단계동,강원도 원주시 서원대로 171,127.9307983,37.34481587,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,춘천시,퇴계동,퇴계동,강원도 춘천시 안마산로 133,127.7298483,37.85596646,파리바게뜨
베스킨라빈스써티원아이스크림,음식,패스트푸드,아이스크림판매,동해시,천곡동,천곡동,강원도 동해시 천곡로 68,129.1128098,37.52327347,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,원주시,봉산동,봉산동,강원도 원주시 행구로 68,127.96472759999999,37.34152377,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,강릉시,중앙동,임당동,강원도 강릉시 경강로 2098,128.8963837,37.75466312,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,평창군,봉평면,봉평면,강원도 평창군 봉평면 태기로 174,128.3095959,37.57374985,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,원주시,무실동,무실동,강원도 원주시 무실본동길 2,127.93235109999999,37.337553799999995,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,철원군,갈말읍,갈말읍,강원도 철원군 갈말읍 삼부연로 15,127.3095783,38.14548126,파리바게뜨
베스킨라빈스,음식,커피점/카페,커피전문점/카페/다방,춘천시,후평3동,후평동,강원도 춘천시 후석로250번길 1,127.75281229999999,37.87386632,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,동해시,천곡동,천곡동,강원도 동해시 중앙로 237,129.1137874,37.52206587,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,삼척시,도계읍,도계읍,강원도 삼척시 도계읍 도계우회로2길 8,129.0467825,37.23698635,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,춘천시,퇴계동,퇴계동,강원도 춘천시 안마산로 199,127.7364476,37.85049413,파리바게뜨
