날짜,시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
2019-05-09,강원,춘천시,3,0,0,3,0
2019-05-10,강원,춘천시,5,0,2,4,0
2019-05-11,강원,춘천시,5,0,1,8,0
2019-05-12,강원,춘천시,3,0,0,7,0
2019-05-13,강원,춘천시,6,0,2,8,0
2019-05-14,강원,춘천시,7,0,5,5,0
2019-05-15,강원,춘천시,4,0,1,5,0
2019-05-16,강원,춘천시,6,0,0,5,1
2019-05-17,강원,춘천시,4,0,1,5,0
2019-05-18,강원,춘천시,4,0,0,5,0
2019-05-19,강원,춘천시,6,0,1,6,0
2019-05-20,강원,춘천시,3,0,2,1,1
2019-05-21,강원,춘천시,1,0,0,1,0
2019-05-22,강원,춘천시,5,0,2,4,0
2019-05-23,강원,춘천시,3,0,1,4,0
2019-05-24,강원,춘천시,6,0,1,10,0
2019-05-25,강원,춘천시,5,0,1,6,1
2019-05-26,강원,춘천시,4,0,3,6,0
2019-05-27,강원,춘천시,4,0,1,6,0
2019-05-28,강원,춘천시,5,0,0,9,1
2019-05-29,강원,춘천시,5,0,2,3,1
2019-05-30,강원,춘천시,5,0,2,4,0
2019-05-31,강원,춘천시,9,0,3,6,1
2019-06-01,강원,춘천시,4,0,1,4,0
2019-06-02,강원,춘천시,3,0,1,4,0
2019-06-03,강원,춘천시,4,0,2,6,0
2019-06-04,강원,춘천시,6,0,1,10,0
2019-06-05,강원,춘천시,1,0,1,0,0
2019-06-06,강원,춘천시,4,0,1,4,0
2019-06-07,강원,춘천시,4,0,1,4,0
2019-06-08,강원,춘천시,7,0,5,4,1
2019-06-09,강원,춘천시,4,0,4,2,0
2019-06-10,강원,춘천시,4,0,0,5,0
2019-06-11,강원,춘천시,4,0,1,7,0
2019-06-12,강원,춘천시,2,0,1,2,0
2019-06-13,강원,춘천시,4,0,0,6,0
2019-06-14,강원,춘천시,4,0,1,8,2
2019-06-15,강원,춘천시,7,0,1,10,0
2019-06-16,강원,춘천시,2,0,1,1,0
2019-06-17,강원,춘천시,8,0,2,8,2
2019-06-18,강원,춘천시,6,0,0,7,0
2019-06-19,강원,춘천시,2,0,0,2,0
2019-06-20,강원,춘천시,1,0,0,1,0
2019-06-21,강원,춘천시,6,0,2,7,0
2019-06-22,강원,춘천시,5,0,2,4,0
2019-06-23,강원,춘천시,2,0,0,2,0
2019-06-24,강원,춘천시,4,0,2,5,0
2019-06-25,강원,춘천시,3,0,0,4,1
2019-06-26,강원,춘천시,3,0,0,3,1
2019-06-27,강원,춘천시,5,0,0,10,0
2019-06-28,강원,춘천시,3,0,1,3,0
2019-06-29,강원,춘천시,1,0,0,1,0
2019-06-30,강원,춘천시,4,0,0,6,0
2019-07-02,강원,춘천시,7,0,3,4,1
2019-07-03,강원,춘천시,3,1,0,3,0
2019-07-04,강원,춘천시,3,0,1,4,0
2019-07-05,강원,춘천시,11,0,3,9,0
2019-07-06,강원,춘천시,3,0,1,2,0
2019-07-07,강원,춘천시,4,0,0,4,0
2019-07-08,강원,춘천시,2,0,0,2,0
2019-07-09,강원,춘천시,4,1,0,4,0
2019-07-10,강원,춘천시,7,0,2,7,0
2019-07-11,강원,춘천시,3,0,0,5,0
2019-07-12,강원,춘천시,6,0,2,9,1
2019-07-13,강원,춘천시,3,0,1,4,0
2019-07-14,강원,춘천시,4,0,2,1,1
2019-07-15,강원,춘천시,4,0,1,5,0
