업소명,도로명주소,주요음식,신청일자,지정일자,재지정일자
중화루,"강원도 춘천시 둥지길 5-17, 2,3층 (효자동)","탕수육, 자장면",2016-10-10,2016-11-28,2021-10-18
우미닭갈비본점,강원도 춘천시 금강로62번길 4 (조양동),닭갈비,2003-04-01,2003-06-30,
샘밭막국수,강원도 춘천시 신북읍 신샘밭로 644,막국수,2009-06-01,2009-06-01,2021-10-18
봉운장,강원도 춘천시 소양고개길 26 (소양로3가),"갈비,갈비탕",2003-04-01,2007-06-01,2021-10-18
이디오피아집(벳),"강원도 춘천시 이디오피아길 7, 2층 (근화동)",양식,2005-04-01,2007-06-01,2011-12-01
본관남부막국수,"강원도 춘천시 춘천로81번길 16, 1,2층 (약사동)","막국수,편육,빈대떡",2014-10-21,2014-12-09,2021-10-18
강촌막국수,강원도 춘천시 남산면 강촌로 62-1,"막국수,편육",2017-11-16,2017-12-06,2021-10-18
명동산골닭갈비,"강원도 춘천시 금강로62번길 7, 1,2층 (조양동)",닭갈비,2020-10-05,2020-11-02,2021-10-18
복천닭갈비,"강원도 춘천시 금강로62번길 10-1, 1,2층 (조양동)",닭갈비,2003-04-01,2003-06-30,2005-05-30
함지,강원도 춘천시 중앙로 101 (중앙로3가),양식,2003-04-01,2007-06-01,2021-10-18
디아펠리즈,"강원도 춘천시 춘천로 71, 지하1, 지상2~4층 (효자동)",뷔페,2017-11-09,2017-12-06,2021-10-18
별당막국수,"강원도 춘천시 춘천로81번길 15, 1층 (약사동)","막국수,편육",2003-04-01,2007-06-01,2021-10-18
함흥냉면옥,강원도 춘천시 시청길 16-1 (조양동),냉면,2003-04-01,2007-06-01,2017-12-06
명동명물닭갈비,"강원도 춘천시 금강로62번길 8, 1층 (조양동)",닭갈비,2003-04-01,2007-06-01,2021-10-18
부안막국수,강원도 춘천시 후석로344번길 7 (후평동),막국수,2003-04-01,2007-06-01,2021-10-18
나라앤미네,"강원도 춘천시 중앙로 41-3, 1층 (중앙로1가)",참치,2011-09-26,2011-12-01,2014-12-09
춘천닭갈비명동직영점,"강원도 춘천시 금강로62번길 13 (조양동, 2층)",닭갈비,2005-04-01,2007-06-01,2007-06-01
춘천사랑닭갈비,강원도 춘천시 낙원길 47-1 (낙원동),"닭갈비,막국수",2014-10-21,2014-12-09,2021-10-18
파레스,"강원도 춘천시 춘천로 180 (효자동, 자하1층)",부페,2003-04-01,2007-06-01,2014-12-09
곰배령,"강원도 춘천시 춘천로 19, 1층 (온의동)",한정식,2011-09-26,2011-12-01,2021-10-18
도지골등나무집,강원도 춘천시 신북읍 상천3길 2,"회,매운탕",2003-04-01,2007-06-01,2010-06-30
온고당,강원도 춘천시 춘천로138번길 9 (운교동),삽겹살,2007-04-10,2007-06-01,2009-06-01
의암호가든,강원도 춘천시 서면 박사로 233-15 (1리),"자연산민물매운탕,장어구이",2005-04-01,2007-06-01,2013-12-03
영산강,강원도 춘천시 동내면 거두길 18,장어,2013-10-31,2013-12-03,2021-10-18
동해수산횟집,"강원도 춘천시 후석로 472 (후평동, 1층)",바다회,2003-04-01,2003-06-30,
우리감자탕,"강원도 춘천시 춘천로 58 (효자동, 1층)","감자탕,해물뼈찜",2013-10-31,2013-12-03,2017-12-06
춘천장어마을삼천동점,"강원도 춘천시 구마니1길 36-11, 1층 (삼천동)",장어요리,2021-10-18,2021-10-18,
연산골막국수,강원도 춘천시 동면 연산골길 105-12,막국수,2005-04-01,2007-06-01,2009-06-01
라데나골프클럽1,강원도 춘천시 신동면 칠전동길 72,해장국,2006-04-10,2007-06-01,2021-10-18
한옥갈비,강원도 춘천시 약사고개길 17-1 (죽림동),돼지갈비,2010-06-30,2010-06-30,2021-10-18
통통순대국,강원도 춘천시 소양로183번길 18 (근화동),염소전골,2003-04-01,2003-06-30,
우성닭갈비,강원도 춘천시 후만로 81 (후평동),닭갈비,2003-04-01,2007-06-01,2017-12-06
일점오닭갈비,강원도 춘천시 후만로 77 (후평동),닭갈비,2007-04-10,2007-06-01,2021-10-18
원조남부막국수,"강원도 춘천시 춘천로 56, 1동 (효자동)","막국수,편육",2003-04-01,2007-06-01,2021-10-18
감미옥설렁탕,"강원도 춘천시 춘천로 217, 1층 (효자동)",설렁탕,2006-04-10,2007-06-01,2021-10-18
소소떡볶이한림대점,강원도 춘천시 삭주로80번길 3 (교동),"쌈밥,비빔밥",2003-04-01,2007-06-01,2012-11-29
다릿목닭갈비,"강원도 춘천시 영서로 2668-8, 1.2층 (소양로1가)","송어,향어회",2003-04-01,2003-06-30,2005-05-30
소양강닭갈비막국수,강원도 춘천시 영서로 2668-14 (소양로1가),"회,매물탕",2003-04-01,2003-06-30,2005-05-30
어전,강원도 춘천시 후석로393번길 18 (후평동),바다회,2003-04-01,2007-06-01,2010-06-30
윤일닭갈비,"강원도 춘천시 효석로 31-1, 1층 (효자동)",냉이닭갈비,2008-06-01,2008-06-01,2021-10-18
메바우명가춘천막국수,"강원도 춘천시 당간지주길 76, 1층 (근화동)","막국수, 편육",2016-10-10,2016-11-28,2021-10-18
수원성,강원도 춘천시 동면 춘천로 480,한정식,2003-04-01,2007-06-01,2013-12-03
한옥가,강원도 춘천시 신북읍 신샘밭로 655,"한식(막국수,닭갈비)",2007-04-10,2007-06-01,2010-06-30
오수물막국수,강원도 춘천시 신북읍 맥국2길 15,"막국수,보쌈",2014-10-21,2014-12-09,2021-10-18
신의주찹쌀순대명동점,강원도 춘천시 시청길12번길 12 (조양동),갈비살.삼겹살,2005-04-01,2007-06-01,2007-06-01
돼지두마리,강원도 춘천시 대양당길 5 (후평동),갈매기살,2003-04-01,2007-06-01,2009-06-01
우성닭갈비본점직영점,강원도 춘천시 후만로 81 (후평동),닭갈비,2003-04-01,2003-06-30,
통나무집닭갈비,강원도 춘천시 신북읍 신샘밭로 763,닭갈비,2003-04-01,2007-06-01,2021-10-18
유포리막국수,강원도 춘천시 신북읍 맥국2길 123 (외2필지),막국수,2006-04-10,2007-06-01,2021-10-18
단우물막국수,강원도 춘천시 신북읍 신북로 323,막국수,2003-04-01,2007-06-01,2019-10-31
석정한식부페,강원도 춘천시 동면 춘천로 527-38,"닭갈비,막국수",2003-04-01,2007-06-01,2010-06-30
하주골,강원도 춘천시 동면 만천로 163,한정식,2005-04-01,2007-06-01,2021-10-18
카스타임,강원도 춘천시 아침길 10 (조양동),양식,2003-04-01,2003-06-30,
서울녹각삼계탕,강원도 춘천시 효석로 29 (효자동),삼계탕,2012-10-25,2012-11-29,2021-10-18
호반닭갈비,"강원도 춘천시 남춘로 26, 1층 (퇴계동)",닭갈비,2003-04-01,2007-06-01,2012-11-29
퇴계막국수,강원도 춘천시 영서로 2231 (퇴계동),막국수,2003-04-01,2007-06-01,2009-06-01
사계절레스토랑,"강원도 춘천시 수변공원길 45 (삼천동, 1층)",양식,2003-04-01,2007-06-01,2009-06-01
한가위,강원도 춘천시 동면 소양강로 718,흑두부전골,2003-04-01,2003-06-30,
퇴근길,강원도 춘천시 시청길 12 (조양동),낙지전골,2003-04-01,2007-06-01,2010-06-30
유미닭갈비,강원도 춘천시 금강로62번길 12 (조양동),닭갈비,2019-08-08,2019-10-31,2021-10-18
춘향,"강원도 춘천시 서부대성로239번길 7, 1층 (효자동)",고기부페,2003-04-01,2003-06-30,
원앙닭갈비,강원도 춘천시 벌말길 94 (석사동),닭갈비,2003-04-01,2003-06-30,
남춘천닭갈비,강원도 춘천시 충혼길5번길 4-3 (퇴계동),닭갈비,2011-09-26,2011-12-01,2015-11-23
원조명동유림닭갈비,강원도 춘천시 안마산로 7 (온의동),"닭달비,막국수",2003-04-01,2007-06-01,2009-06-01
춘천함가네닭갈비,강원도 춘천시 영서로 2347 (온의동),닭갈비,2013-10-31,2013-12-03,2018-11-28
우물정,강원도 춘천시 영서로 3016 (사농동),"차돌박이,홍창,꼬리곰탕",2003-04-01,2007-06-01,2017-12-06
"일번가막국수,닭갈비",강원도 춘천시 신북읍 신샘밭로 771,"막국수,닭갈비",2003-04-01,2007-06-01,2010-06-30
큰집한우,"강원도 춘천시 서부대성로 135, 2층 (운교동)","등심, 육회",2016-10-10,2016-11-28,2021-10-18
강원부페,강원도 춘천시 영서로 2402 (근화동),부페,2007-04-02,2007-06-01,2015-11-23
원조마늘통닭집,강원도 춘천시 후만로116번길 14 (후평동),삼겹살,2003-04-01,2003-06-30,
수협회시식코너,"강원도 춘천시 공지로 345, 1동 (효자동)",바다회,2007-04-10,2007-06-01,2013-12-03
팔도한방오리,강원도 춘천시 효석로 27 (효자동),오리구이,2003-04-01,2003-06-30,
미락샤브샤브,"강원도 춘천시 행촌로 29, 6층 (퇴계동)",부폐,2005-04-01,2003-06-30,2006-06-01
춘천이동갈비,"강원도 춘천시 춘주로201번길 8, 1층 (퇴계동)","이동갈비,하이포크",2012-10-25,2012-11-29,2017-12-06
배나무집툇골오리,강원도 춘천시 경춘로 2297-33 (온의동),막국수,2003-04-01,2007-06-01,2009-06-01
왕촌,강원도 춘천시 신북읍 상천3길 6,"막국수,닭갈비",2003-04-01,2007-06-01,2009-06-01
춘우가든,강원도 춘천시 서면 경춘로 722,흑두부,2003-04-01,2007-06-01,2011-12-01
파도횟집,강원도 춘천시 서부대성로 65 (옥천동),"생선구이,매운탕",2013-10-31,2013-12-03,2014-12-09
진미닭갈비본점,강원도 춘천시 백령로 51 (효자동),닭갈비,2003-04-01,2007-06-01,2009-06-01
회향,"강원도 춘천시 대양당길 27, 1층 (후평동)",숯불닭갈비,2013-10-31,2013-12-03,2015-11-23
무교동낙지(춘천점),강원도 춘천시 공원3길 23 (퇴계동),낙지볶음,2003-04-01,2007-06-01,2009-06-01
유경중화요리,강원도 춘천시 사우로 45 (사농동),장어구이,2003-04-01,2007-06-01,2009-06-01
필라델피아화로숯불갈비,강원도 춘천시 영서로2753번길 12 (우두동),경양식,2003-04-01,2003-06-30,
샘토명물닭갈비본점,강원도 춘천시 신북읍 신샘밭로 729,"닭갈비,막국수",2003-04-01,2007-06-01,2011-12-01
옛날옛집,강원도 춘천시 동면 만천로 102,한정식,2005-04-01,2007-06-01,2021-10-18
정가붕어찜,강원도 춘천시 동면 지내양지길 41-9,붕어찜,2006-05-01,2007-06-01,2009-06-01
그랑셰프(클럽하우스),강원도 춘천시 남산면 북한강변길 688,"유황오리백숙,우거지해장국",2006-04-10,2007-06-01,2021-10-18
한양숯불화로구이(소담송하),강원도 춘천시 중앙로 2 (요선동),굴순두부찌개,2005-04-01,2007-06-01,2021-10-18
새미골추어탕,강원도 춘천시 서부대성로48번길 26-1 (요선동),추어탕,2003-04-01,2007-06-01,2014-12-09
서울왕돈까스,강원도 춘천시 삭주로80번길 6 (교동),돈가스,2003-04-01,2003-06-30,2005-05-30
우촌칡냉면,강원도 춘천시 남춘로5번길 13-2 (퇴계동),냉면,2003-04-01,2007-06-01,2012-11-29
삼대막국수,강원도 춘천시 남춘로5번길 22 (퇴계동),막국수,2012-10-25,2012-11-29,2021-10-18
해미담,강원도 춘천시 효자로24번길 12 (퇴계동),생삼겹살,2003-04-01,2007-06-01,2021-10-18
장위동유성집,강원도 춘천시 효자로14번길 9 (퇴계동),소갈비살,2003-04-01,2003-06-30,
동해곰치,강원도 춘천시 동면 만천로 57,곰치국,2007-04-02,2007-06-01,2018-11-28
정근봉콩나물국밥,강원도 춘천시 서면 경춘로 1067,콩나물국밥,2003-04-01,2007-06-01,2020-11-02
전주비빔밥,"강원도 춘천시 춘천로138번길 29, 1층 (운교동)",비빔밥,2003-04-01,2007-06-01,2009-06-01
명랑닭갈비,"강원도 춘천시 금강로62번길 9-1, 1층 (조양동)",닭갈비,2003-04-01,2003-06-30,
명동손만두,"강원도 춘천시 명동길 26 (중앙로2가, 1~2층)",해물국수,2003-04-01,2007-06-01,2010-06-30
비와별닭갈비애막골점,강원도 춘천시 애막골길11번길 38 (석사동),닭갈비,2005-04-01,2007-06-01,2021-10-18
탑벙커(Top Bunker),"강원도 춘천시 후석로186번길 14, 6층 (석사동)",돈가스,2005-04-01,2003-06-30,2006-06-01
비비큐(BBQ)(애막골점),강원도 춘천시 우석로85번길 20-6 (석사동),바다회,2003-04-01,2003-06-30,
경성주막1929춘천점,강원도 춘천시 애막골길11번길 21 (석사동),"바다회, 매운탕",2007-04-10,2007-06-01,2009-06-01
청정골,강원도 춘천시 우묵들길 29 (퇴계동),"삽겹살, 소갈비살",2006-04-10,2007-06-01,2010-06-30
춘천옥화덕족발,강원도 춘천시 우묵길 60 (퇴계동),부대찌개,2003-04-01,2003-06-30,
우리동네소한마리,강원도 춘천시 안마산로 220 (퇴계동),회정식,2006-04-10,2007-06-01,2009-06-01
라데나콘도스넥하우스,강원도 춘천시 스포츠타운길 317 (삼천동),뷔페,2006-04-10,2007-06-01,2013-12-03
장호막국수.닭갈비,강원도 춘천시 신북읍 신샘밭로 676,"막국수,닭갈비",2007-04-10,2007-06-01,2013-12-03
명가막국수,강원도 춘천시 신북읍 상천3길 8,막국수,2003-04-01,2007-06-01,2021-10-18
소양강농원콩이랑두부랑,강원도 춘천시 신북읍 신샘밭로 388-8,"두부전골, 두부구이",2016-10-10,2016-11-28,2018-11-28
보영이네해물칼국수만천리점,강원도 춘천시 동면 만천로 145,칼국수,2020-10-05,2020-11-02,2021-10-18
대웅닭갈비막국수,강원도 춘천시 동면 금옥길 5,닭갈비,2003-04-01,2007-06-01,2021-10-18
육쌈냉면(춘천명동점),강원도 춘천시 명동길 9 (조양동),냉면,2012-10-25,2012-11-29,2021-10-18
순대박사,강원도 춘천시 영서로 2502 (근화동),사골순대국밥,2021-10-18,2021-10-18,
별주부자라원,강원도 춘천시 후석로 470 (후평동),용봉탕,2003-04-01,2007-06-01,2013-12-03
부안옥,"강원도 춘천시 보안길 58, 1층 (후평동)","소갈비살, 삼겹살",2015-10-08,2015-11-23,2021-10-18
가마솥순대국(애막골점),강원도 춘천시 애막골길7번길 21 (석사동),족발,2003-04-01,2003-06-30,2005-05-30
솔밭가든,강원도 춘천시 신동솔밭길 86 (신동),갈비,2003-04-01,2007-06-01,2017-12-06
음악창고,"강원도 춘천시 우두강둑길 25, 2층 (우두동)",경양식,2003-04-01,2003-06-30,
솔모정,"강원도 춘천시 신동솔밭길 55-4 (신동, 1층)","오리,토종닭",2003-04-01,2007-06-01,2015-11-23
시골막국수,강원도 춘천시 신북읍 율문길 100,막국수,2003-04-01,2007-06-01,2021-10-18
고산가,강원도 춘천시 동내면 너부래길 7,한정식,2007-04-10,2007-06-01,2021-10-18
나라일식,"강원도 춘천시 옥천길 11, 1층 (중앙로1가)",모듬회,2006-04-10,2007-06-01,2014-12-09
조양동,"강원도 춘천시 아침길 17-21, 1,2층 (조양동)","불고기,냉면",2014-10-21,2014-12-09,2015-11-23
효자골,강원도 춘천시 백령로 161 (효자동),냉면,2003-04-01,2003-06-30,
송추가마골식당,강원도 춘천시 세실로 114-18 (석사동),갈비,2003-04-01,2007-06-01,2007-06-01
쟈스민,"강원도 춘천시 우묵길74번길 14, 1,2,3층 (퇴계동)","자장면,탕수육",2003-04-01,2007-06-01,2021-10-18
춘천왕갈비,"강원도 춘천시 김유정로 1875, 1층 (퇴계동)",소.돼지갈비,2005-04-01,2003-06-30,2006-06-01
장안해장국,강원도 춘천시 퇴계로 23 (퇴계동),해장국,2003-04-01,2007-06-01,2009-06-01
동해막국수퇴계점,강원도 춘천시 퇴계로 23 (퇴계동),"막국수, 족발",2016-10-10,2016-11-28,2021-10-18
샤브향(퇴계점),"강원도 춘천시 우묵들길 35-6, 1층 (퇴계동)",샤브샤브,2018-11-08,2018-11-28,2021-10-18
비엔호프,강원도 춘천시 영서로2756번길 8 (우두동),오리,2003-04-01,2003-06-30,2005-05-30
동명막국수닭갈비,강원도 춘천시 영서로 3034 (사농동),"아구찜,버섯불고기",2003-04-01,2003-06-30,
황궁쟁반짜장우두점,강원도 춘천시 충열로 160 (우두동),자장면,2003-04-01,2007-06-01,2009-06-01
나능이능이버섯백숙만천점,강원도 춘천시 동면 만천로 94,"오리, 닭백숙",2019-08-08,2019-10-31,2021-10-18
보노(BONO),강원도 춘천시 동면 순환대로 1154-65,스테이크,2007-04-10,2007-06-01,2009-06-01
참살이불쭈꾸미,강원도 춘천시 동면 만천로 28,쭈꾸미,2021-10-18,2021-10-18,
금병산숯불철판닭갈비,강원도 춘천시 신동면 금병의숙길 6 (1리),"닭갈비,막국수",2015-10-08,2015-11-23,2021-10-18
명동일번지닭갈비,"강원도 춘천시 금강로62번길 7 (조양동, 외8필지)","닭갈비,막국수",2003-04-01,2007-06-01,2021-10-18
돈까스클럽춘천점,강원도 춘천시 춘천로 429 (후평동),돈가스,2012-10-25,2012-11-29,2021-10-18
유명짬뽕,강원도 춘천시 후석로 14 (석사동),복숭아불고기,2015-10-08,2015-11-23,
아름다운식당(춘천시니어클럽),"강원도 춘천시 애막골길20번길 4-1, 1층 (석사동)",중식,2003-04-01,2003-06-30,
한지붕갈비,강원도 춘천시 벌말길 74-1 (석사동),닭갈비,2014-10-21,2014-12-09,2016-11-23
일조바다횟집,강원도 춘천시 퇴계로 17 (퇴계동),바다회,2003-04-01,2007-06-01,2014-12-09
우성닭갈비,강원도 춘천시 우묵들길 33 (퇴계동),닭갈비,2003-04-01,2007-06-01,2010-06-30
공지천왕갈비,강원도 춘천시 효자로 5 (퇴계동),갈비,2014-10-21,2014-12-09,2021-10-18
보릿고개,강원도 춘천시 우묵길78번길 11 (퇴계동),돼지갈비,2003-04-01,2003-06-30,
봄담은산채,"강원도 춘천시 선들길 38, 1층 (삼천동)",한정식,2013-10-31,2013-12-03,2021-10-18
황금한식부페,강원도 춘천시 충열로 258 (우두동),한식뷔페,2013-10-31,2013-12-03,2021-10-18
페리하우스,강원도 춘천시 영서로2753번길 14 (우두동),경양식,2003-04-01,2007-06-01,2009-06-01
옛터숯불닭갈비,강원도 춘천시 남산면 강촌구곡길 4,돼지갈비,2005-04-01,2007-06-01,2007-06-01
돌담,강원도 춘천시 우묵길52번길 7 (퇴계동),오리구이,2003-04-01,2007-06-01,2009-06-01
무봉리토종순대국온의점,강원도 춘천시 영서로2279번길 16 (온의동),토종순대전골,2007-06-01,2007-06-01,2009-06-01
그랑셰프(콘도),"강원도 춘천시 남산면 북한강변길 688, 엘리시안 강촌",한식,2006-04-10,2007-06-01,2010-06-30
돈연가,강원도 춘천시 사우로 144 (우두동),삼겹살,2003-04-01,2003-06-30,
북경관,강원도 춘천시 공지로 426 (근화동),해물짬뽕,2007-04-10,2007-06-01,2021-10-18
"회,장,메",강원도 춘천시 화목원길 21 (사농동),민물회,2005-04-01,2007-06-01,2021-10-18
명동본가닭갈비,"강원도 춘천시 금강로62번길 14 (1,2층) ,명동길13-1(2,3층) (조양동)","닭갈비,막국수",2008-06-01,2008-06-01,2021-10-18
호반,"강원도 춘천시 스포츠타운길 376, 1층 (삼천동)",뷔페,2006-04-10,2007-06-01,2021-10-18
소양강양어장,강원도 춘천시 동면 소양강로 675 (외1필지),송어.산천어,2005-04-01,2007-06-01,2021-10-18
항아리닭갈비막국수,강원도 춘천시 신북읍 신샘밭로 487,닭갈비,2005-04-01,2007-06-01,2021-10-18
등촌 샤브 칼국수,"강원도 춘천시 금강로 32-1 (소양로3가, 169-2,180-1,180-2)",샤브칼국수,2005-04-01,2007-06-01,2021-10-18
물고기자리,강원도 춘천시 승지골길 7-6 (퇴계동),초밥.회밥,2005-04-01,2007-06-01,2009-06-01
이화원,강원도 춘천시 새롬공원길 20 (석사동),중식,2007-04-10,2007-06-01,
문암정,강원도 춘천시 동면 춘천로 527-34,한정식,2005-04-01,2007-06-01,
강촌찐해물칼국수,강원도 춘천시 남산면 강촌로 113,닭갈비.막국수,2005-04-01,2007-06-01,2010-06-30
대암감자탕한림대점,강원도 춘천시 삭주로 67 (교동),닭갈비,2011-09-26,2011-12-01,2012-11-29
전성환의옛날손짜장,강원도 춘천시 퇴계로 191 (석사동),낙지수제비,2006-04-10,2007-06-01,2009-06-01
귀품찬곽만근숯불갈비(춘천점),강원도 춘천시 동내면 춘천순환로 65,숯불갈비,2011-09-26,2011-12-01,2021-10-18
고은가든,강원도 춘천시 동내면 고은길 161,한정식,2014-10-21,2014-12-09,2017-12-06
선참치,"강원도 춘천시 춘천순환로 28 (석사동, 1층)",등심,2005-04-01,2007-06-01,2009-06-01
감미닭갈비본점,강원도 춘천시 퇴계로 235 (석사동),닭갈비,2006-04-10,2007-06-01,2012-11-29
(주)원일유통 춘천(상)휴게소,강원도 춘천시 동내면 영서로 1432,"순두부찌개, 닭갈비",2007-06-01,2007-06-01,2021-10-18
춘천맛집 종로1973,강원도 춘천시 동내면 춘천순환로72번길 33-14,명태조림,2021-10-18,2021-10-18,
명봉닭갈비막국수,강원도 춘천시 동면 금촌로 273,"닭갈비,막국수",2005-04-01,2007-06-01,2017-12-06
모비딕,강원도 춘천시 신북읍 신샘밭로 388-10,"돈까스,스테이크",2014-10-21,2014-12-09,2017-12-06
낙지한마리수제비,"강원도 춘천시 우묵길70번길 34 (퇴계동, 1층)",낙지볶음,2006-04-10,2007-06-01,2011-12-01
구이린,강원도 춘천시 서부대성로239번길 23 (효자동),자장면,2005-04-01,2007-06-01,2010-06-30
훼미리뷔페니코,"강원도 춘천시 아침길 10 (조양동, 2층)",뷔페,2005-04-01,2007-06-01,2017-12-06
춘천푸주옥(거두점),강원도 춘천시 동내면 세실로 34,"곰탕, 설렁탕",2018-11-09,2018-11-28,2021-10-18
예와생스튜디오카페,강원도 춘천시 동면 가산로 186-5,"탕수육,자장면",2014-10-21,2014-12-09,2015-11-23
"대양칡냉면,동태찜",강원도 춘천시 사우3길 33-14 (사농동),칡냉면.동태찜,2005-04-01,2007-06-01,2009-06-01
월드스타이벤트뷔페,"강원도 춘천시 남춘로36번길 51, 1,2,3층 (퇴계동)",부페,2005-04-01,2007-06-01,2012-11-29
토담화로구이,"강원도 춘천시 남춘로36번길 65 (퇴계동, 1층)",돼지갈비,2005-04-01,2007-06-01,2021-10-18
원시시대,"강원도 춘천시 우석로79번길 13, 1층 (석사동)","삽겹살, 갈매기살",2006-04-10,2007-06-01,2009-06-01
콩사랑마을,"강원도 춘천시 우묵들길 35-14, 1,2층 (퇴계동)",두부전골,2016-10-10,2016-11-28,2021-10-18
라이라이,강원도 춘천시 동면 순환대로 1154-42,"탕수육,자장면",2011-09-26,2011-12-01,2013-12-03
월담,"강원도 춘천시 애막골길11번길 26 (석사동, 1층)",참치전문점,2008-06-01,2008-06-01,2010-06-30
경아두마리치킨,"강원도 춘천시 후만로126번길 16, 1층 (후평동)","불고기,오리고기, 막국수",2008-06-01,2008-06-01,2016-11-23
꽃게신랑아구각시,강원도 춘천시 퇴계로 65 (퇴계동),해물찜,2018-11-08,2018-11-28,2021-10-18
오리정,강원도 춘천시 충열로16번길 21-1 (우두동),삼겹살,2008-06-01,2008-06-01,2010-06-30
장작구이향토,강원도 춘천시 옛경춘로 471 (칠전동),오리구이,2012-10-25,2012-11-29,2017-12-06
능이마을,"강원도 춘천시 보안길 19 (후평동, 1층)",능이백숙,2019-08-08,2019-10-31,2021-10-18
더가든,"강원도 춘천시 후석로326번길 12-16 (후평동, 1층)","민물회,매운탕",2006-04-10,2007-06-01,2013-12-03
오봉해물찜,"강원도 춘천시 퇴계로 63-1, 1층 (퇴계동)",해물탕,2006-05-01,2007-06-01,2010-06-30
해마,"강원도 춘천시 춘천로 380-1, 1층 (후평동)",회정식,2008-06-01,2008-06-01,2013-12-03
효자황태구이,"강원도 춘천시 남춘로51번길 15-1 (효자동, 1~2층)",황태구이,2011-09-26,2011-12-01,2021-10-18
후평1번지닭갈비,"강원도 춘천시 후석로 247 (후평동, 후평프라자 201호-206호)",닭갈비,2006-04-10,2006-06-01,
남원본가맛추어탕,강원도 춘천시 영서로 2841 (사농동),"한우떡갈비,갈비찜",2008-06-01,2008-06-01,2013-12-03
장어만,"강원도 춘천시 동내면 거두택지길26번길 16-14, 1층",장어구이,2008-06-01,2008-06-01,2010-06-30
호호식당,"강원도 춘천시 퇴계농공로 13 (석사동, 1층)","삼겹살, 항정살",2016-10-10,2016-11-28,2021-10-18
춘천제일닭갈비,강원도 춘천시 새롬공원길 21-1 (석사동),닭갈비,2013-10-31,2013-12-03,2017-12-06
산토리니,강원도 춘천시 동면 순환대로 1154-97 (2층),스테이크,2007-04-10,2007-06-01,2010-06-30
미스터피자,강원도 춘천시 중앙로67번길 18 (죽림동),피자,2013-10-31,2013-12-03,2015-11-23
스시마루,"강원도 춘천시 스무숲길 1 (석사동, 6층)",바다회,2007-04-10,2007-06-01,2012-11-29
동경,"강원도 춘천시 공지로 149, 3층 (석사동, 동진빌딩)",회정식,2016-10-10,2016-11-28,2021-10-18
도가네오골계,강원도 춘천시 동내면 거두길 5-16,오골계,2012-10-25,2012-11-29,2014-12-09
태평소스무숲점,"강원도 춘천시 스무숲길 9 (석사동, 1층)","한우모듬, 삼겹살 구이",2019-08-08,2019-10-31,2020-11-02
소문난의정부부대찌개춘천시청점,"강원도 춘천시 시청길10번길 8, 2층 (조양동)",부대찌개,2018-11-09,2018-11-28,2021-10-18
한우가,"강원도 춘천시 스무숲3길 18, 1.2동 1층 (석사동)","갈비살,살치살",2014-10-21,2014-12-09,2021-10-18
누보,"강원도 춘천시 퇴계로 13, 3층 (퇴계동)",회코스,2016-10-10,2016-11-28,2021-10-18
해마루스무숲점,"강원도 춘천시 스무숲길 38, 1층 (석사동)","굴돌솥밥,굴요리",2007-04-10,2007-06-01,2009-06-01
명물숯불닭갈비,강원도 춘천시 옛경춘로 807 (삼천동),"닭갈비,막국수",2007-04-10,2007-06-01,2014-12-09
하루,"강원도 춘천시 후석로 12, 5층 (석사동)",회정식,2007-04-10,2007-06-01,
삼대닭갈비,강원도 춘천시 남춘로5번길 18-1 (퇴계동),닭갈비,2013-10-31,2013-12-03,2021-10-18
퇴골집오리숯불구이둘째아들점,강원도 춘천시 동면 만천로 183,오리숯불구이,2015-02-13,2015-02-13,2021-10-18
춘천로얄뷔페,"강원도 춘천시 후석로 247, 5층 (후평동, 후평프라자)",뷔페,2013-10-31,2013-12-03,
땡기요춘천퇴계점,강원도 춘천시 퇴계로 9 (퇴계동),오리구이,2015-10-08,2015-11-23,2016-11-23
한양시래기명태조림춘천점,"강원도 춘천시 영서로 2195 (퇴계동, (굿모닝마트2층))","육개장, 시래기명태조림",2013-10-31,2013-12-03,2021-10-18
일품신토오리,"강원도 춘천시 김유정로 1897 (퇴계동, 3층)",오리훈제,2008-06-01,2008-06-01,2011-12-01
옥광산가든,강원도 춘천시 동면 금옥길 228,,2009-06-01,2009-06-01,
춘천명물닭갈비막국수,강원도 춘천시 옛경춘로 807-1 (삼천동),"닭갈비,막국수",2010-06-30,2010-06-30,2018-11-28
횡성한우진설,"강원도 춘천시 새롬공원길 19, 1층 (석사동)",한우전문점,2013-10-31,2013-12-03,2016-11-23
백종원의원조쌈밥집춘천석사점,강원도 춘천시 퇴계농공로 14 (석사동),"등심,갈비",2010-06-30,2010-06-30,
비와별닭갈비본점,"강원도 춘천시 스무숲길 5 (석사동, 1,2층)",닭갈비,2009-06-01,2009-06-01,2021-10-18
해미일식,"강원도 춘천시 퇴계농공로 14 (석사동, 2층)","정식,생선회,초밥",2011-09-26,2011-12-01,2021-10-18
우미노,강원도 춘천시 퇴계로 32 (퇴계동),"양대창,막창",2012-10-25,2012-11-29,2013-12-03
세종대왕숯불갈비,강원도 춘천시 후석로 241 (후평동),닭갈비,2010-06-30,2010-06-30,
완타치무한리필,강원도 춘천시 우묵길78번길 20 (퇴계동),한우전문점,2013-10-31,2013-12-03,2015-11-23
고봉삼계탕춘천점,"강원도 춘천시 춘천로 12, 2층 (퇴계동)",스테이크,2011-09-26,2011-12-01,2018-11-28
