업소명,도로명주소,주요음식,신청일자,지정일자,재지정일자
인삼닭갈비,강원도 태백시 새시장길 14 (황지동),닭갈비,2004-12-09,2004-12-27,2009-07-16
광천막국수,강원도 태백시 수아밭길 108 (화전동),버섯전골,2004-06-10,2004-07-01,2006-07-06
삼척식당,강원도 태백시 석공길 16-14 (장성동),"생선회, 매운탕",2006-05-30,2006-07-06,2009-07-16
계룡가든,강원도 태백시 태백로 2417 (동점동),한식,2002-05-20,2002-05-21,
바람부리숯불실비,강원도 태백시 강원남부로 26 (황지동),"돼지갈비,삼겹살",2005-06-13,2005-07-01,2020-11-26
털보소막창,강원도 태백시 번영로 192-12 (황지동),"고기류(등심,삼겹살)",2004-06-10,2004-07-01,2008-07-02
강릉식당,강원도 태백시 장성로 44 (장성동),백반,2003-04-24,2003-06-24,
도솔천,강원도 태백시 태백로 323 (화전동),한식,2004-12-09,2004-12-27,
가마솥삼겹,강원도 태백시 동태백로 838 (백산동),곰탕,2003-10-30,2003-12-10,2008-07-02
화영휴게소,강원도 태백시 태백로 2154 (장성동),한식,2003-04-24,2003-06-24,
오빠(O-Bar),강원도 태백시 번영로 357 (황지동),양식,2003-10-30,2003-12-10,
백야성,강원도 태백시 번영로 211 (황지동),"복지리, 복매운탕",2004-06-10,2004-07-01,2009-04-01
박대정,강원도 태백시 동태백로 823 (백산동),"한방오리, 닭백숙",2007-05-31,2007-06-29,2020-11-26
두오리 도토리마을,강원도 태백시 고원로 59 (황지동),유황오리황토구이,2004-06-10,2004-07-01,2007-06-29
임원항,강원도 태백시 고원로 85 (황지동),"생선회, 매운탕",2009-06-05,2009-07-16,2014-08-01
추전벨리가든,강원도 태백시 태백로 365 (화전동),"한우, 갈비탕",2015-09-01,2015-10-01,2020-11-26
산골식당,강원도 태백시 천제단길 146 (소도동),"산채비빔밥, 찌게백반",2006-05-30,2006-07-06,2014-08-01
부부한식수제도시락,강원도 태백시 연지로 8 (황지동),"삼계탕,닭도리탕",2008-05-30,2008-07-02,2009-07-16
명가식당,강원도 태백시 시장안1길 18-3 (황지동),생선회,2005-06-13,2005-07-01,
부초가든,강원도 태백시 상장남2길 23 (황지동),"오리백숙, 구이탕, 주물럭",2012-07-13,2012-07-13,2014-08-01
주막아구찜,강원도 태백시 황지북3길 6 (황지동),아구찜,2017-10-23,2017-10-23,2020-11-26
정동횟집,강원도 태백시 태백로 1176 (황지동),한식,2005-06-13,2005-07-01,2007-06-29
후지야마,강원도 태백시 문화로 67 (황지동),생선회,2009-06-05,2009-07-16,2017-10-23
화평동왕냉면.황제갈비,강원도 태백시 태백로 605 (화전동),"고기류(돼지갈비,냉면)",2007-05-31,2007-06-29,2008-07-02
장인,강원도 태백시 상장남길 64 (황지동),"육개장, 설렁탕",2015-09-01,2015-10-01,2020-11-26
대원화로구이,강원도 태백시 태붐로 5 (황지동),"고기류(등심,돼지갈비)",2013-11-07,2013-11-07,2020-11-26
고원설렁탕,강원도 태백시 광원길 4 (문곡동),"등심,갈비살",2009-06-05,2008-07-02,2020-11-26
태백서학한우촌,강원도 태백시 번영로 206 (황지동),고기류(등심),2008-05-30,2008-07-02,
